Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-22,0.9293195486514202,0.9454345885437544,0.9293195486514202,0.9400628805160522,363114,0.0,0.0
2010-02-23,0.9508068758819621,1.0098961634761474,0.9508068758819621,0.9830377101898193,3547327,0.0,0.0
2010-02-24,0.9884094112486045,0.9937811187090416,0.9561785771506381,0.9722936153411865,730356,0.0,0.0
2010-02-25,0.934691226355052,0.972293686473668,0.934691226355052,0.9615503549575806,855518,0.0,0.0
2010-02-28,0.9669219851493835,0.9722936083806024,0.9669219851493835,0.9669219851493835,71245,0.0,0.0
2010-03-01,0.9400626919702161,0.9669219002478252,0.9400626919702161,0.9561784863471985,524970,0.0,0.0
2010-03-02,0.9400628500177111,0.966922062811009,0.9400628500177111,0.9615503549575806,522261,0.0,0.0
2010-03-03,0.9615503549575805,0.9615503549575805,0.9615503549575805,0.9615503549575806,4154783,0.0,0.0
2010-03-04,0.9346912566791223,0.9400628805160524,0.9346912566791223,0.9400628805160522,269387,0.0,0.0
2010-03-08,0.9454343989205295,0.9669219002478252,0.9400626919702161,0.9561784863471985,976683,0.0,0.0
2010-03-09,0.9508068628834389,0.9669219851493835,0.9508068628834389,0.9669219851493835,864813,0.0,0.0
2010-03-10,0.9669219851493835,0.9722936083806024,0.9669219851493835,0.9669219851493835,167535,0.0,0.0
2010-03-11,0.9669219851493835,0.977665315802584,0.961550277727402,0.9669219851493835,137967,0.0,0.0
2010-03-14,0.956178647104152,0.9615503549575805,0.956178647104152,0.9615503549575806,44161,0.0,0.0
2010-03-15,0.961550277727402,0.9669219851493835,0.9561785703054204,0.9669219851493835,134509,0.0,0.0
2010-03-16,0.966922033551292,0.993781161341045,0.961550325860415,0.977665364742279,541956,0.0,0.0
2010-03-17,0.9776653291682903,0.9937811251806561,0.9776653291682903,0.9830377101898193,570709,0.0,0.0
2010-03-18,0.9776653228016238,0.9830377037881672,0.9669219920715125,0.9722936153411865,1026222,0.0,0.0
2010-03-21,0.9830375973253468,1.0474985850140583,0.9830375973253468,1.0206401348114014,4692809,0.0,0.0
2010-03-22,1.0421269162455742,1.1119602027020246,1.0367552091704506,1.0743577480316162,3435168,0.0,0.0
2010-03-23,1.0528703806353674,1.111960344676924,1.047498757065153,1.068986177444458,4911198,0.0,0.0
2010-03-24,1.0367553056315675,1.058242809457346,1.0367553056315675,1.042127013206482,3133057,0.0,0.0
2010-03-25,1.0582428583393406,1.0636144819716142,1.0421270613440612,1.0528703927993774,587485,0.0,0.0
2010-03-29,1.0474987387440933,1.0474987387440933,1.0313836157430047,1.0367553234100342,618946,0.0,0.0
2010-03-30,1.0260120630264282,1.0313836868731492,1.020640354988935,1.0260120630264282,580622,0.0,0.0
2010-03-31,1.0260118514106584,1.0260118514106584,0.9937810204979268,1.0045243501663208,671312,0.0,0.0
2010-04-01,0.9937810204979268,1.0098960570958952,0.9937810204979268,1.0045243501663208,287583,0.0,0.0
2010-04-05,1.0206403022841464,1.0421270491337946,1.0098962132377944,1.0313836336135864,986057,0.0,0.0
2010-04-06,1.0260120630264282,1.0313836868731492,1.020640354988935,1.0260120630264282,587616,0.0,0.0
2010-04-07,1.0260120100442505,1.0474987568938987,1.0045245054776906,1.0313836336135864,6816367,0.0,0.0
2010-04-11,1.0421270310770638,1.0689861587475769,1.0206402845997122,1.0367553234100342,4482532,0.0,0.0
2010-04-12,1.0206401348114014,1.0260118416900836,1.015267754406686,1.0206401348114014,818232,0.0,0.0
2010-04-13,1.020640354988935,1.0421271029481358,1.0152679734252628,1.0260120630264282,1946806,0.0,0.0
2010-04-14,1.020640354988935,1.0313836868731492,1.020640354988935,1.0260120630264282,1346226,0.0,0.0
2010-04-15,1.0313836868731492,1.0313836868731492,1.020640354988935,1.0260120630264282,1106078,0.0,0.0
2010-04-18,1.0260118416900836,1.0260118416900836,1.0098960475280037,1.0206401348114014,208107,0.0,0.0
2010-04-19,1.009896159172058,1.0152678666445827,1.009896159172058,1.009896159172058,540549,0.0,0.0
2010-04-20,1.0206401348114014,1.042126878135376,1.015267754406686,1.0206401348114014,4630267,0.0,0.0
2010-04-21,1.0313834643780115,1.0313834643780115,1.015267754406686,1.0206401348114014,1521282,0.0,0.0
2010-04-22,1.0313836157430047,1.0474987387440933,1.0313836157430047,1.0367553234100342,2275830,0.0,0.0
2010-04-25,1.0313836337822064,1.090472924297619,1.026012010211992,1.068986177444458,12822456,0.0,0.0
2010-04-26,1.0689860238497415,1.1012168551200006,1.06361431686058,1.079729437828064,8188823,0.0,0.0
2010-04-27,1.0582428583393406,1.0582428583393406,1.0474987691671038,1.0528703927993774,1630733,0.0,0.0
2010-04-28,1.0421270491337946,1.0474987568938987,1.0206403022841464,1.0313836336135864,2371949,0.0,0.0
2010-04-29,1.0313836336135864,1.0421270491337946,1.0260120100442505,1.0313836336135864,784299,0.0,0.0
2010-05-03,1.0260120100442505,1.0421270491337946,1.0206403022841464,1.0313836336135864,610151,0.0,0.0
2010-05-04,1.0528703262959103,1.0582427914965273,1.0367552880354414,1.0474987030029297,1092813,0.0,0.0
2010-05-05,1.042127013206482,1.0528703441655458,1.0260119746725036,1.042127013206482,928130,0.0,0.0
2010-05-06,1.0260119746725036,1.0904728865253028,1.020640267097589,1.042127013206482,10215342,0.0,0.0
2010-05-09,0.9991528493127828,1.0582429005867946,0.9991528493127828,1.0260120630264282,6177121,0.0,0.0
2010-05-10,1.0528701624082366,1.0743576625246214,1.0528701624082366,1.0636142492294312,3573254,0.0,0.0
2010-05-11,1.0528703441655458,1.0528703441655458,1.031383598056653,1.042127013206482,1727116,0.0,0.0
2010-05-12,1.0367553234100342,1.0421270310770638,1.0313836157430047,1.0367553234100342,3522335,0.0,0.0
2010-05-13,1.042127013206482,1.042127013206482,1.031383598056653,1.042127013206482,2460917,0.0,0.0
2010-05-17,1.0098960570958952,1.020640144481084,0.9884093135683524,1.0045243501663208,1749308,0.0,0.0
2010-05-18,0.9937812254660617,1.0367553949106425,0.9937812254660617,1.0260120630264282,3955313,0.0,0.0
2010-05-20,1.020640161982671,1.020640161982671,0.9884093305172561,0.999152660369873,593138,0.0,0.0
2010-05-23,0.9937812089920044,0.9991528327496793,0.9776654116204997,0.9937812089920044,252913,0.0,0.0
2010-05-24,0.9830376967506669,0.9830376967506669,0.9400627745133744,0.9669219851493835,349151,0.0,0.0
2010-05-25,0.9615502934251525,0.9615502934251525,0.8970886246383302,0.9239477515220642,720561,0.0,0.0
2010-05-26,0.9508068784057983,0.9561785859154754,0.9024603321480074,0.9239477515220642,822900,0.0,0.0
2010-05-27,0.9346910632647529,0.9346910632647529,0.9132043197909396,0.9185759425163269,584303,0.0,0.0
2010-05-30,0.9400627898603316,0.9454344973700087,0.9078319554669204,0.9239477515220642,920097,0.0,0.0
2010-05-31,0.9185761148826855,0.9669220755351322,0.9132044911493391,0.9454345703125,3079219,0.0,0.0
2010-06-01,0.9830376066387779,1.020640144481084,0.9776652261831638,1.0045243501663208,6712701,0.0,0.0
2010-06-02,0.9884095174285684,1.0367553949106425,0.9884095174285684,1.0260120630264282,7378649,0.0,0.0
2010-06-06,0.9937812089920044,1.0098962486465708,0.9884095010435586,0.9937812089920044,520736,0.0,0.0
2010-06-07,0.9884093403816223,0.9884093403816223,0.9830376333063258,0.9884093403816223,296326,0.0,0.0
